,date,reward
113,2021-10-25 02:06:00+00:00,15.467499999998836
114,2021-10-25 02:07:00+00:00,21.035799999999654
115,2021-10-25 02:08:00+00:00,-9.280499999998938
116,2021-10-25 02:09:00+00:00,6.186999999999898
117,2021-10-25 02:10:00+00:00,-14.230099999998856
118,2021-10-25 02:11:00+00:00,1.85609999999906
119,2021-10-25 02:12:00+00:00,-12.373999999999796
120,2021-10-25 02:13:00+00:00,0.0
121,2021-10-25 02:14:00+00:00,-8.661799999999857
122,2021-10-25 02:15:00+00:00,5.568300000000818
123,2021-10-25 02:16:00+00:00,-5.568300000000818
124,2021-10-25 02:17:00+00:00,-10.517900000000736
125,2021-10-25 02:18:00+00:00,-10.517899999998917
126,2021-10-25 02:19:00+00:00,16.704899999998815
127,2021-10-25 02:20:00+00:00,-9.899199999999837
128,2021-10-25 02:21:00+00:00,6.8057000000007974
129,2021-10-25 02:22:00+00:00,-4.9496000000017375
130,2021-10-25 02:23:00+00:00,12.992700000000696
131,2021-10-25 02:24:00+00:00,-1.2373999999999796
132,2021-10-25 02:25:00+00:00,-3.712199999999939
133,2021-10-25 02:26:00+00:00,-4.9495999999999185
134,2021-10-25 02:27:00+00:00,4.330900000000838
135,2021-10-25 02:28:00+00:00,-7.424400000001697
136,2021-10-25 02:29:00+00:00,49.496000000001004
137,2021-10-25 02:30:00+00:00,-10.517900000000736
138,2021-10-25 02:31:00+00:00,5.568300000000818
139,2021-10-25 02:32:00+00:00,3.0935000000008586
140,2021-10-25 02:33:00+00:00,-14.848799999999756
141,2021-10-25 02:34:00+00:00,-6.187000000001717
142,2021-10-25 02:35:00+00:00,-6.186999999999898
143,2021-10-25 02:36:00+00:00,-2.4747999999981403
144,2021-10-25 02:37:00+00:00,-3.712200000001758
145,2021-10-25 02:38:00+00:00,-6.8056999999989785
146,2021-10-25 02:39:00+00:00,1.2373999999999796
147,2021-10-25 02:40:00+00:00,1.85609999999906
148,2021-10-25 02:41:00+00:00,0.0
149,2021-10-25 02:42:00+00:00,1.2373999999999796
150,2021-10-25 02:43:00+00:00,14.848799999999756
151,2021-10-25 02:44:00+00:00,4.9496000000017375
152,2021-10-25 02:45:00+00:00,-12.374000000001615
153,2021-10-25 02:46:00+00:00,27.22280000000137
154,2021-10-25 02:47:00+00:00,-4.9495999999999185
155,2021-10-25 02:48:00+00:00,3.0934999999990396
156,2021-10-25 02:49:00+00:00,-3.712199999999939
157,2021-10-25 02:50:00+00:00,-7.424399999999878
158,2021-10-25 02:51:00+00:00,1.2373999999999796
159,2021-10-25 02:52:00+00:00,8.661799999999857
160,2021-10-25 02:53:00+00:00,-4.9495999999999185
161,2021-10-25 02:54:00+00:00,20.417100000000573
162,2021-10-25 02:55:00+00:00,-23.510600000001432
163,2021-10-25 02:56:00+00:00,11.755300000000716
164,2021-10-25 02:57:00+00:00,19.798400000001493
165,2021-10-25 02:58:00+00:00,-1.2374000000017986
166,2021-10-25 02:59:00+00:00,-7.424399999999878
167,2021-10-25 03:00:00+00:00,4.9495999999999185
168,2021-10-25 03:01:00+00:00,9.899199999999837
169,2021-10-25 03:02:00+00:00,8.043100000000777
170,2021-10-25 03:03:00+00:00,0.0
171,2021-10-25 03:04:00+00:00,-7.424399999999878
172,2021-10-25 03:05:00+00:00,-4.9495999999999185
173,2021-10-25 03:06:00+00:00,1.2373999999999796
174,2021-10-25 03:07:00+00:00,1.2373999999999796
175,2021-10-25 03:08:00+00:00,4.330899999999019
176,2021-10-25 03:09:00+00:00,5.568300000000818
177,2021-10-25 03:10:00+00:00,3.0934999999990396
178,2021-10-25 03:11:00+00:00,-17.942299999998795
179,2021-10-25 03:12:00+00:00,11.755299999998897
180,2021-10-25 03:13:00+00:00,-11.136599999997998
181,2021-10-25 03:14:00+00:00,0.6186999999990803
182,2021-10-25 03:15:00+00:00,-13.611399999999776
183,2021-10-25 03:16:00+00:00,-2.4748000000017782
184,2021-10-25 03:17:00+00:00,-10.517899999998917
185,2021-10-25 03:18:00+00:00,1.2373999999999796
186,2021-10-25 03:19:00+00:00,3.712199999999939
187,2021-10-25 03:20:00+00:00,2.4747999999999593
188,2021-10-25 03:21:00+00:00,-7.424399999999878
189,2021-10-25 03:22:00+00:00,15.467500000000655
190,2021-10-25 03:23:00+00:00,-6.8057000000007974
191,2021-10-25 03:24:00+00:00,-18.560999999999694
192,2021-10-25 03:25:00+00:00,-3.0935000000008586
193,2021-10-25 03:26:00+00:00,0.0
194,2021-10-25 03:27:00+00:00,1.856100000000879
195,2021-10-25 03:28:00+00:00,-1.856100000000879
196,2021-10-25 03:29:00+00:00,10.517900000000736
197,2021-10-25 03:30:00+00:00,-13.611399999999776
198,2021-10-25 03:31:00+00:00,1.85609999999906
199,2021-10-25 03:32:00+00:00,-4.330899999999019
200,2021-10-25 03:33:00+00:00,-12.373999999999796
201,2021-10-25 03:34:00+00:00,-2.4747999999999593
202,2021-10-25 03:35:00+00:00,13.611399999999776
203,2021-10-25 03:36:00+00:00,-6.8057000000007974
204,2021-10-25 03:37:00+00:00,8.043100000000777
205,2021-10-25 03:38:00+00:00,-4.330899999999019
206,2021-10-25 03:39:00+00:00,3.71219999999812
207,2021-10-25 03:40:00+00:00,12.373999999999796
208,2021-10-25 03:41:00+00:00,30.93499999999949
209,2021-10-25 03:42:00+00:00,-1.2373999999999796
210,2021-10-25 03:43:00+00:00,3.712200000001758
211,2021-10-25 03:44:00+00:00,21.654499999998734
212,2021-10-25 03:45:00+00:00,-16.086199999999735
213,2021-10-25 03:46:00+00:00,-6.8056999999989785
214,2021-10-25 03:47:00+00:00,-1.856100000000879
215,2021-10-25 03:48:00+00:00,3.0935000000008586
216,2021-10-25 03:49:00+00:00,-4.330900000000838
217,2021-10-25 03:50:00+00:00,-6.186999999999898
218,2021-10-25 03:51:00+00:00,6.186999999999898
219,2021-10-25 03:52:00+00:00,4.9495999999999185
220,2021-10-25 03:53:00+00:00,-1.85609999999906
221,2021-10-25 03:54:00+00:00,-9.280500000000757
222,2021-10-25 03:55:00+00:00,-6.186999999999898
223,2021-10-25 03:56:00+00:00,4.9495999999999185
224,2021-10-25 03:57:00+00:00,8.661799999999857
225,2021-10-25 03:58:00+00:00,-9.280499999998938
226,2021-10-25 03:59:00+00:00,14.230099999998856
227,2021-10-25 04:00:00+00:00,32.17239999999947
