,date,action
0,2021-10-25 00:13:00+00:00,[0.68325543]
1,2021-10-25 00:14:00+00:00,[-0.31026945]
2,2021-10-25 00:15:00+00:00,[-0.5286319]
3,2021-10-25 00:16:00+00:00,[0.55259097]
4,2021-10-25 00:17:00+00:00,[-0.05563274]
5,2021-10-25 00:18:00+00:00,[-0.25403607]
6,2021-10-25 00:19:00+00:00,[-0.09215999]
7,2021-10-25 00:20:00+00:00,[1.]
8,2021-10-25 00:21:00+00:00,[-0.36414424]
9,2021-10-25 00:22:00+00:00,[0.21235967]
10,2021-10-25 00:23:00+00:00,[0.5269248]
11,2021-10-25 00:24:00+00:00,[0.97469234]
12,2021-10-25 00:25:00+00:00,[1.]
13,2021-10-25 00:26:00+00:00,[1.]
14,2021-10-25 00:27:00+00:00,[-0.4605416]
15,2021-10-25 00:28:00+00:00,[-1.]
16,2021-10-25 00:29:00+00:00,[-0.29133436]
17,2021-10-25 00:30:00+00:00,[-0.22180134]
18,2021-10-25 00:31:00+00:00,[-0.39452997]
19,2021-10-25 00:32:00+00:00,[1.]
20,2021-10-25 00:33:00+00:00,[0.66489965]
21,2021-10-25 00:34:00+00:00,[-0.2782385]
22,2021-10-25 00:35:00+00:00,[0.8964268]
23,2021-10-25 00:36:00+00:00,[1.]
24,2021-10-25 00:37:00+00:00,[0.6119105]
25,2021-10-25 00:38:00+00:00,[-0.04749134]
26,2021-10-25 00:39:00+00:00,[0.78348565]
27,2021-10-25 00:40:00+00:00,[0.2547667]
28,2021-10-25 00:41:00+00:00,[0.3722024]
29,2021-10-25 00:42:00+00:00,[0.6763204]
30,2021-10-25 00:43:00+00:00,[0.62350124]
31,2021-10-25 00:44:00+00:00,[1.]
32,2021-10-25 00:45:00+00:00,[-0.02117041]
33,2021-10-25 00:46:00+00:00,[-1.]
34,2021-10-25 00:47:00+00:00,[1.]
35,2021-10-25 00:48:00+00:00,[1.]
36,2021-10-25 00:49:00+00:00,[1.]
37,2021-10-25 00:50:00+00:00,[-0.11536455]
38,2021-10-25 00:51:00+00:00,[-0.6854429]
39,2021-10-25 00:52:00+00:00,[0.80688703]
40,2021-10-25 00:53:00+00:00,[0.39843306]
41,2021-10-25 00:54:00+00:00,[0.5582951]
42,2021-10-25 00:55:00+00:00,[1.]
43,2021-10-25 00:56:00+00:00,[-0.07225758]
44,2021-10-25 00:57:00+00:00,[0.72068936]
45,2021-10-25 00:58:00+00:00,[-0.81271636]
46,2021-10-25 00:59:00+00:00,[1.]
47,2021-10-25 01:00:00+00:00,[0.0507237]
48,2021-10-25 01:01:00+00:00,[0.9948626]
49,2021-10-25 01:02:00+00:00,[0.77305233]
50,2021-10-25 01:03:00+00:00,[1.]
51,2021-10-25 01:04:00+00:00,[-0.09148592]
52,2021-10-25 01:05:00+00:00,[-0.13064018]
53,2021-10-25 01:06:00+00:00,[0.940308]
54,2021-10-25 01:07:00+00:00,[0.23090741]
55,2021-10-25 01:08:00+00:00,[0.4778816]
56,2021-10-25 01:09:00+00:00,[-1.]
57,2021-10-25 01:10:00+00:00,[0.9285024]
58,2021-10-25 01:11:00+00:00,[0.7619161]
59,2021-10-25 01:12:00+00:00,[1.]
60,2021-10-25 01:13:00+00:00,[-0.09908697]
61,2021-10-25 01:14:00+00:00,[-0.37037665]
62,2021-10-25 01:15:00+00:00,[0.5558286]
63,2021-10-25 01:16:00+00:00,[0.24728693]
64,2021-10-25 01:17:00+00:00,[-1.]
65,2021-10-25 01:18:00+00:00,[-0.8442058]
66,2021-10-25 01:19:00+00:00,[0.24272913]
67,2021-10-25 01:20:00+00:00,[0.6106269]
68,2021-10-25 01:21:00+00:00,[0.8626319]
69,2021-10-25 01:22:00+00:00,[-1.]
70,2021-10-25 01:23:00+00:00,[-0.94383514]
71,2021-10-25 01:24:00+00:00,[-0.7430439]
72,2021-10-25 01:25:00+00:00,[-0.50815594]
73,2021-10-25 01:26:00+00:00,[-0.75438887]
74,2021-10-25 01:27:00+00:00,[0.44937426]
75,2021-10-25 01:28:00+00:00,[0.44838578]
76,2021-10-25 01:29:00+00:00,[-0.22975168]
77,2021-10-25 01:30:00+00:00,[1.]
78,2021-10-25 01:31:00+00:00,[0.6781814]
79,2021-10-25 01:32:00+00:00,[-0.42147732]
80,2021-10-25 01:33:00+00:00,[0.19527307]
81,2021-10-25 01:34:00+00:00,[0.2184526]
82,2021-10-25 01:35:00+00:00,[-1.]
83,2021-10-25 01:36:00+00:00,[0.98917603]
84,2021-10-25 01:37:00+00:00,[1.]
85,2021-10-25 01:38:00+00:00,[-0.25191054]
86,2021-10-25 01:39:00+00:00,[-0.14986953]
87,2021-10-25 01:40:00+00:00,[1.]
88,2021-10-25 01:41:00+00:00,[0.5318178]
89,2021-10-25 01:42:00+00:00,[1.]
90,2021-10-25 01:43:00+00:00,[-0.41060936]
91,2021-10-25 01:44:00+00:00,[-1.]
92,2021-10-25 01:45:00+00:00,[0.69341785]
93,2021-10-25 01:46:00+00:00,[0.011244]
94,2021-10-25 01:47:00+00:00,[-1.]
95,2021-10-25 01:48:00+00:00,[-0.6271778]
96,2021-10-25 01:49:00+00:00,[-0.8676985]
97,2021-10-25 01:50:00+00:00,[0.0685994]
98,2021-10-25 01:51:00+00:00,[1.]
99,2021-10-25 01:52:00+00:00,[1.]
100,2021-10-25 01:53:00+00:00,[-0.31844065]
101,2021-10-25 01:54:00+00:00,[-0.27046344]
102,2021-10-25 01:55:00+00:00,[-0.503035]
103,2021-10-25 01:56:00+00:00,[-0.28170514]
104,2021-10-25 01:57:00+00:00,[1.]
105,2021-10-25 01:58:00+00:00,[-0.8913566]
106,2021-10-25 01:59:00+00:00,[1.]
107,2021-10-25 02:00:00+00:00,[1.]
108,2021-10-25 02:01:00+00:00,[0.47931382]
109,2021-10-25 02:02:00+00:00,[-0.12876925]
110,2021-10-25 02:03:00+00:00,[0.213856]
111,2021-10-25 02:04:00+00:00,[0.5623004]
112,2021-10-25 02:05:00+00:00,[0.05173063]
113,2021-10-25 02:06:00+00:00,[-0.61346686]
114,2021-10-25 02:07:00+00:00,[-1.]
115,2021-10-25 02:08:00+00:00,[1.]
116,2021-10-25 02:09:00+00:00,[0.7023696]
117,2021-10-25 02:10:00+00:00,[-1.]
118,2021-10-25 02:11:00+00:00,[0.82267606]
119,2021-10-25 02:12:00+00:00,[-0.17063218]
120,2021-10-25 02:13:00+00:00,[0.43482685]
121,2021-10-25 02:14:00+00:00,[-1.]
122,2021-10-25 02:15:00+00:00,[0.47095975]
123,2021-10-25 02:16:00+00:00,[1.]
124,2021-10-25 02:17:00+00:00,[0.4138327]
125,2021-10-25 02:18:00+00:00,[0.65559494]
126,2021-10-25 02:19:00+00:00,[0.8467704]
127,2021-10-25 02:20:00+00:00,[0.6220764]
128,2021-10-25 02:21:00+00:00,[0.20639564]
129,2021-10-25 02:22:00+00:00,[-0.39319003]
130,2021-10-25 02:23:00+00:00,[-0.36974645]
131,2021-10-25 02:24:00+00:00,[-0.4886214]
132,2021-10-25 02:25:00+00:00,[1.]
133,2021-10-25 02:26:00+00:00,[0.19043301]
134,2021-10-25 02:27:00+00:00,[-0.07098907]
135,2021-10-25 02:28:00+00:00,[0.6895015]
136,2021-10-25 02:29:00+00:00,[-0.16342899]
137,2021-10-25 02:30:00+00:00,[0.40949947]
138,2021-10-25 02:31:00+00:00,[0.7829226]
139,2021-10-25 02:32:00+00:00,[0.8329394]
140,2021-10-25 02:33:00+00:00,[-0.8876236]
141,2021-10-25 02:34:00+00:00,[0.08088723]
142,2021-10-25 02:35:00+00:00,[-1.]
143,2021-10-25 02:36:00+00:00,[-0.8656693]
144,2021-10-25 02:37:00+00:00,[1.]
145,2021-10-25 02:38:00+00:00,[0.18587388]
146,2021-10-25 02:39:00+00:00,[1.]
147,2021-10-25 02:40:00+00:00,[0.86393714]
148,2021-10-25 02:41:00+00:00,[0.94973457]
149,2021-10-25 02:42:00+00:00,[-0.15319419]
150,2021-10-25 02:43:00+00:00,[1.]
151,2021-10-25 02:44:00+00:00,[0.16131088]
152,2021-10-25 02:45:00+00:00,[-0.05320573]
153,2021-10-25 02:46:00+00:00,[-0.14402184]
154,2021-10-25 02:47:00+00:00,[-0.3054174]
155,2021-10-25 02:48:00+00:00,[0.74181235]
156,2021-10-25 02:49:00+00:00,[-0.12616637]
157,2021-10-25 02:50:00+00:00,[0.87896633]
158,2021-10-25 02:51:00+00:00,[-0.1824534]
159,2021-10-25 02:52:00+00:00,[0.58219194]
160,2021-10-25 02:53:00+00:00,[0.6085166]
161,2021-10-25 02:54:00+00:00,[0.6865761]
162,2021-10-25 02:55:00+00:00,[-1.]
163,2021-10-25 02:56:00+00:00,[1.]
164,2021-10-25 02:57:00+00:00,[0.4128579]
165,2021-10-25 02:58:00+00:00,[0.20580018]
166,2021-10-25 02:59:00+00:00,[-1.]
167,2021-10-25 03:00:00+00:00,[1.]
168,2021-10-25 03:01:00+00:00,[1.]
169,2021-10-25 03:02:00+00:00,[0.4502247]
170,2021-10-25 03:03:00+00:00,[0.7795878]
171,2021-10-25 03:04:00+00:00,[0.362082]
172,2021-10-25 03:05:00+00:00,[0.64203334]
173,2021-10-25 03:06:00+00:00,[-0.81864285]
174,2021-10-25 03:07:00+00:00,[0.66061866]
175,2021-10-25 03:08:00+00:00,[0.30080602]
176,2021-10-25 03:09:00+00:00,[0.16030253]
177,2021-10-25 03:10:00+00:00,[1.]
178,2021-10-25 03:11:00+00:00,[0.83199]
179,2021-10-25 03:12:00+00:00,[-1.]
180,2021-10-25 03:13:00+00:00,[0.26191097]
181,2021-10-25 03:14:00+00:00,[-0.71288884]
182,2021-10-25 03:15:00+00:00,[0.0203785]
183,2021-10-25 03:16:00+00:00,[-1.]
184,2021-10-25 03:17:00+00:00,[-0.9297377]
185,2021-10-25 03:18:00+00:00,[1.]
186,2021-10-25 03:19:00+00:00,[0.67101604]
187,2021-10-25 03:20:00+00:00,[0.10524669]
188,2021-10-25 03:21:00+00:00,[-1.]
189,2021-10-25 03:22:00+00:00,[-1.]
190,2021-10-25 03:23:00+00:00,[-0.40692452]
191,2021-10-25 03:24:00+00:00,[-0.56525207]
192,2021-10-25 03:25:00+00:00,[1.]
193,2021-10-25 03:26:00+00:00,[-0.82046604]
194,2021-10-25 03:27:00+00:00,[-0.8900791]
195,2021-10-25 03:28:00+00:00,[0.02599984]
196,2021-10-25 03:29:00+00:00,[-0.16867891]
197,2021-10-25 03:30:00+00:00,[-1.]
198,2021-10-25 03:31:00+00:00,[0.6689218]
199,2021-10-25 03:32:00+00:00,[-1.]
200,2021-10-25 03:33:00+00:00,[-0.73047507]
201,2021-10-25 03:34:00+00:00,[-0.02316386]
202,2021-10-25 03:35:00+00:00,[-1.]
203,2021-10-25 03:36:00+00:00,[0.5253581]
204,2021-10-25 03:37:00+00:00,[1.]
205,2021-10-25 03:38:00+00:00,[0.44031656]
206,2021-10-25 03:39:00+00:00,[-0.80875754]
207,2021-10-25 03:40:00+00:00,[0.9272049]
208,2021-10-25 03:41:00+00:00,[-1.]
209,2021-10-25 03:42:00+00:00,[1.]
210,2021-10-25 03:43:00+00:00,[-0.66913956]
211,2021-10-25 03:44:00+00:00,[-0.07031679]
212,2021-10-25 03:45:00+00:00,[0.97023]
213,2021-10-25 03:46:00+00:00,[0.12840779]
214,2021-10-25 03:47:00+00:00,[0.58028257]
215,2021-10-25 03:48:00+00:00,[0.05316037]
216,2021-10-25 03:49:00+00:00,[0.78598213]
217,2021-10-25 03:50:00+00:00,[0.3301006]
218,2021-10-25 03:51:00+00:00,[1.]
219,2021-10-25 03:52:00+00:00,[0.9174823]
220,2021-10-25 03:53:00+00:00,[0.89804757]
221,2021-10-25 03:54:00+00:00,[-0.1135093]
222,2021-10-25 03:55:00+00:00,[1.]
223,2021-10-25 03:56:00+00:00,[1.]
224,2021-10-25 03:57:00+00:00,[0.8372921]
225,2021-10-25 03:58:00+00:00,[0.7376224]
226,2021-10-25 03:59:00+00:00,[1.]
227,2021-10-25 04:00:00+00:00,[1.]
228,2021-10-25 04:01:00+00:00,[-0.52659345]
229,2021-10-25 04:02:00+00:00,[-0.63086426]
230,2021-10-25 04:03:00+00:00,[-0.22594571]
231,2021-10-25 04:04:00+00:00,[-0.21523404]
232,2021-10-25 04:05:00+00:00,[0.3277736]
233,2021-10-25 04:06:00+00:00,[1.]
234,2021-10-25 04:07:00+00:00,[-0.7885479]
235,2021-10-25 04:08:00+00:00,[-1.]
236,2021-10-25 04:09:00+00:00,[0.23662144]
237,2021-10-25 04:10:00+00:00,[-0.9250546]
238,2021-10-25 04:11:00+00:00,[1.]
239,2021-10-25 04:12:00+00:00,[-1.]
240,2021-10-25 04:13:00+00:00,[0.90506196]
241,2021-10-25 04:14:00+00:00,[1.]
242,2021-10-25 04:15:00+00:00,[1.]
243,2021-10-25 04:16:00+00:00,[0.3667508]
244,2021-10-25 04:17:00+00:00,[0.8985399]
245,2021-10-25 04:18:00+00:00,[-0.11309069]
246,2021-10-25 04:19:00+00:00,[-0.48875946]
247,2021-10-25 04:20:00+00:00,[-0.14232269]
248,2021-10-25 04:21:00+00:00,[-0.15450302]
249,2021-10-25 04:22:00+00:00,[-0.7947371]
250,2021-10-25 04:23:00+00:00,[0.5048153]
251,2021-10-25 04:24:00+00:00,[-0.5557022]
252,2021-10-25 04:25:00+00:00,[-0.6410328]
253,2021-10-25 04:26:00+00:00,[1.]
254,2021-10-25 04:27:00+00:00,[0.19398528]
255,2021-10-25 04:28:00+00:00,[1.]
256,2021-10-25 04:29:00+00:00,[0.24878857]
257,2021-10-25 04:30:00+00:00,[1.]
258,2021-10-25 04:31:00+00:00,[1.]
259,2021-10-25 04:32:00+00:00,[0.6636291]
260,2021-10-25 04:33:00+00:00,[0.96463996]
261,2021-10-25 04:34:00+00:00,[0.21068823]
262,2021-10-25 04:35:00+00:00,[1.]
263,2021-10-25 04:36:00+00:00,[0.01392505]
264,2021-10-25 04:37:00+00:00,[0.35619077]
265,2021-10-25 04:38:00+00:00,[0.35999042]
266,2021-10-25 04:39:00+00:00,[-0.11146694]
267,2021-10-25 04:40:00+00:00,[1.]
268,2021-10-25 04:41:00+00:00,[-0.47755158]
269,2021-10-25 04:42:00+00:00,[-0.44831324]
270,2021-10-25 04:43:00+00:00,[-0.29177073]
271,2021-10-25 04:44:00+00:00,[-0.7400836]
272,2021-10-25 04:45:00+00:00,[-0.39113018]
273,2021-10-25 04:46:00+00:00,[-0.34573415]
274,2021-10-25 04:47:00+00:00,[1.]
275,2021-10-25 04:48:00+00:00,[1.]
276,2021-10-25 04:49:00+00:00,[0.06923518]
277,2021-10-25 04:50:00+00:00,[0.12474263]
278,2021-10-25 04:51:00+00:00,[-1.]
279,2021-10-25 04:52:00+00:00,[0.06056209]
280,2021-10-25 04:53:00+00:00,[0.59778357]
281,2021-10-25 04:54:00+00:00,[1.]
282,2021-10-25 04:55:00+00:00,[1.]
283,2021-10-25 04:56:00+00:00,[0.90283525]
284,2021-10-25 04:57:00+00:00,[0.6716577]
285,2021-10-25 04:58:00+00:00,[1.]
286,2021-10-25 04:59:00+00:00,[-0.26144847]
287,2021-10-25 05:00:00+00:00,[-0.96226525]
288,2021-10-25 05:01:00+00:00,[1.]
289,2021-10-25 05:02:00+00:00,[-0.35975325]
290,2021-10-25 05:03:00+00:00,[0.03206417]
291,2021-10-25 05:04:00+00:00,[1.]
